cat,sample_type,phase,elev_minimum,aspect_average,infiltration_mode,emergence_50,emergence_500,emergence_1k,cent_elev,location,island_size,avg_fetch,viewsize_5k,viewsize_10k
5453,buffer,lm,29.69079018,188.5553932,2,70.26118345,225.1843214,646.6856802,30.35999,island,4007300,6192.130748,61676,119407
5454,buffer,lm,30.29055214,269.708065,4,132.3895451,140.8707425,202.4380351,30.91472,island,99000,14.25644166,21717,29572
5455,buffer,lm,28.73838425,83.73335114,2,302.6618696,238.430184,466.1264872,29.31264,island,4262900,928.46803,110799,178244
5456,buffer,lm,33.24594498,326.7284164,2,321.2786392,1058.330466,1205.566754,33.24594,mainland,,701.0504813,68286,99991
5457,buffer,lm,38.73919678,30.37583542,4,538.7727322,1029.863852,1029.881893,39.97368,mainland,,403.6999798,73440,89032
5458,buffer,lm,25.13837433,126.162838,2,35.61373014,189.941412,299.2766932,25.26756,mainland,,818.9556622,88331,143409
5459,buffer,lm,34.08468246,276.1853078,4,725.6053267,1037.250768,976.1373182,34.46032,mainland,,58.05571293,1962,1962
5460,buffer,lm,29.36637878,120.9042206,2,99.47378721,159.3932858,558.1725456,29.98211,mainland,,4827.138955,56128,108407
5461,buffer,lm,28.47144699,276.1129608,3,76.40247698,151.6999336,230.6743045,29.8339,island,80500,1639.973419,66554,150648
5462,buffer,lm,42.35804749,133.758004,4,115.9249017,701.9531366,668.3891095,44.09689,island,300,24640.26511,247150,764163
5463,buffer,lm,26.26401901,105.8003483,2,66.64642645,1079.029871,1216.598728,26.45788,mainland,,106.1689265,6250,6250
5464,buffer,lm,28.04211044,27.535289,2,101.1637513,160.8413849,225.3148728,28.22516,island,93500,3374.912773,78444,282861
5465,buffer,lm,29.21615982,171.0255829,2,23.33442294,214.5847553,245.1714211,29.44477,mainland,,9599.768424,93005,387680
5466,buffer,lm,34.69651031,63.38845634,3,272.7204495,1272.351134,1313.084633,35.9326,mainland,,808.0465519,92571,114852
5467,buffer,lm,41.21662521,74.17401428,2,414.3155088,957.33259,985.2531624,42.71318,island,281000,1082.840784,106596,309097
5468,buffer,lm,32.21227646,144.1381317,4,996.3293466,1424.949793,1381.833239,35.88591,island,537700,10947.09415,52024,212456
5469,buffer,lm,29.31263542,95.73653107,2,293.6020229,236.8499988,474.1033323,29.31264,island,4262900,932.2666667,114763,187218
5470,buffer,lm,29.75244331,220.1471008,2,27.337507,422.4642702,737.0318321,30.05751,island,4007300,372.0045686,32325,61175
5471,buffer,lm,39.87739563,116.8005432,4,334.8894201,279.8397457,330.4480398,41.81744,island,5000,48408.38483,358042,1430238
5472,buffer,lm,32.67884827,55.45350647,2,73.34565425,1078.91324,938.8679669,33.65654,mainland,,443.1355036,36051,38050
5473,buffer,lm,29.78128052,81.72164459,2,106.0635556,247.1648146,217.2175645,30.43547,island,11400,8331.225908,63102,235037
5474,buffer,lm,44.67406464,26.65556645,5,339.3567841,415.0973947,665.904933,44.67406,island,44400,1558.639927,110565,130774
5475,buffer,lm,40.40202332,54.96323395,2,410.0848188,1017.124407,1028.725239,41.40707,island,299600,1360.663002,122234,321756
